theta,presented,ARR,recall,precision,f1
0.3,4188,54.1,68.87,68.59,68.16
0.4,2919,68.0,68.87,68.59,68.16
0.5,2902,68.2,68.64,68.58,68.05
0.6,2856,68.7,67.98,68.74,67.8
0.7,2031,77.8,49.64,68.3,54.32
0.8,877,90.4,29.7,59.09,34.57
0.9,258,97.2,16.56,37.1,16.32
