cls,0.3,0.4,0.5,0.6,0.7,0.8,0.9
Benign,97.1,97.1,98.0,99.4,99.9,100.0,100.0
Brute Force,78.8,78.5,76.8,68.6,52.3,2.5,0.0
DDoS,99.0,99.0,99.0,99.0,99.0,91.9,0.7
DoS,100.0,100.0,100.0,100.0,100.0,94.1,0.2
Mirai Botnet,100.0,100.0,100.0,100.0,100.0,83.7,0.0
Recon,75.6,75.6,74.6,72.6,62.5,25.2,4.7
Spoofing,78.5,78.5,78.5,75.8,72.3,39.5,1.0
Web Attack,79.3,79.3,77.5,72.6,47.7,30.6,0.0
