condition,weight
SSH <= 0.00,-0.4351238638906971
Header_Length <= 0.00,0.06269653164750409
0.50 < IAT <= 0.99,-0.038176371094665276
DNS <= 0.00,0.037517216354189045
fin_count > 0.00,-0.035278955663625655
flow_duration <= 0.00,-0.031333253026945486
Protocol Type > 0.20,-0.02965425628024314
rst_flag_number <= 0.00,0.028529736417773448
Variance <= 0.70,0.02582760139267947
ARP <= 0.00,-0.02263470634307487
