,acc,acc,prec,prec,rec,rec,f1,f1,fpr,fpr,auc,auc
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,,,
DEF,82.21,0.69,70.84,1.72,79.17,1.05,71.82,0.6,2.74,0.07,0.98,0.0
GCN,59.15,4.72,42.06,2.76,47.02,2.58,38.88,3.69,5.93,0.61,0.91,0.01
LSTM,79.05,1.52,66.7,0.71,75.64,0.85,68.62,0.97,3.29,0.22,0.97,0.0
RandomForest,92.52,0.04,85.1,0.13,88.75,0.12,86.6,0.12,1.33,0.02,0.99,0.0
Transformer,79.79,1.51,70.04,1.92,75.43,1.63,69.39,0.9,3.29,0.23,0.97,0.01
XGBoost,94.05,0.08,88.59,0.21,88.57,0.08,88.49,0.13,1.29,0.01,0.99,0.0
